1,195.2057,4.5953,347.70 ,89.9,1.6339
2,195.2057,4.5953,347.70 ,85,1.5767
3,195.2057,4.5953,347.70 ,80,1.5184
4,195.2057,4.5953,347.70 ,75,1.4603
5,195.2057,4.5953,347.70 ,70,1.4023
6,195.2057,4.5953,347.70 ,65,1.3446
7,195.2057,4.5953,347.70 ,60,1.2873
8,195.2057,4.5953,347.70 ,55,1.2307
9,195.2057,4.5953,347.70 ,50,1.175
10,195.2057,4.5953,347.70 ,45,1.1207
11,195.2057,4.5953,367.7,89.9,1.628
12,195.2057,4.5953,367.7,85,1.569
13,195.2057,4.5953,367.7,80,1.513
14,195.2057,4.5953,367.7,75,1.452
15,195.2057,4.5953,367.7,70,1.397
16,195.2057,4.5953,367.7,65,1.3342
17,195.2057,4.5953,367.7,60,1.2811
18,195.2057,4.5953,367.7,55,1.2288
19,195.2057,4.5953,367.7,50,1.1776
20,195.2057,4.5953,367.7,45,1.1278
21,195.2057,4.5953,387.7,89.9,1.616
22,195.2057,4.5953,387.7,85,1.563
23,195.2057,4.5953,387.7,80,1.504
24,195.2057,4.5953,387.7,75,1.45
25,195.2057,4.5953,387.7,70,1.389
26,195.2057,4.5953,387.7,65,1.335
27,195.2057,4.5953,387.7,60,1.2766
28,195.2057,4.5953,387.7,55,1.228
29,195.2057,4.5953,387.7,50,1.1805
30,195.2057,4.5953,387.7,45,1.1347
31,195.2057,4.5953,387.7,40,1.0909
32,195.2057,4.5953,407.7,89.9,1.6146
33,195.2057,4.5953,407.7,85,1.559
34,195.2057,4.5953,407.7,80,1.5026
35,195.2057,4.5953,407.7,75,1.4463
36,195.2057,4.5953,407.7,70,1.3911
37,195.2057,4.5953,407.7,65,1.336
38,195.2057,4.5953,407.7,60,1.2814
39,195.2057,4.5953,407.7,55,1.2288
40,195.2057,4.5953,407.7,50,1.1773
41,195.2057,4.5953,407.7,45,1.1273
42,195.2057,4.5953,407.7,40,1.0766
43,195.2057,4.5953,407.7,35,1.0351
44,195.2057,4.5953,359.2,95.04,1.6745
45,195.5949,4.6069,359.2,90,1.618
46,195.5949,4.6069,359.2,85,1.5619
47,195.5949,4.6069,359.2,80,1.506
48,195.5949,4.6069,359.2,75,1.4502
49,195.5949,4.6069,359.2,70,1.3947
50,195.5949,4.6069,359.2,65,1.3395
51,195.5949,4.6069,359.2,60,1.2848
52,195.5949,4.6069,359.2,55,1.2308
53,195.5949,4.6069,359.2,50,1.1778
54,195.5949,4.6069,359.2,45,1.1264
55,195.5949,4.6069,359.2,40,1.0771
56,195.5949,4.6069,379.2,95.04,1.6438
57,195.5949,4.6069,379.2,90,1.5907
58,195.5949,4.6069,379.2,85,1.5381
59,195.5949,4.6069,379.2,80,1.4858
60,195.5949,4.6069,379.2,75,1.4336
61,195.5949,4.6069,379.2,70,1.3818
62,195.5949,4.6069,379.2,65,1.3303
63,195.5949,4.6069,379.2,60,1.2795
64,195.5949,4.6069,379.2,55,1.2295
65,195.5949,4.6069,379.2,50,1.1806
66,195.5949,4.6069,379.2,45,1.1333
67,195.5949,4.6069,379.2,40,1.0881
68,195.5949,4.6069,399.2,95.04,1.6358
69,195.5949,4.6069,399.2,90,1.5907
70,195.5949,4.6069,399.2,85,1.5438
71,195.5949,4.6069,399.2,80,1.4969
72,195.5949,4.6069,399.2,75,1.4473
73,195.5949,4.6069,399.2,70,1.3971
74,195.5949,4.6069,399.2,65,1.348
75,195.5949,4.6069,399.2,60,1.3016
76,195.5949,4.6069,399.2,55,1.2547
77,195.5949,4.6069,399.2,50,1.2045
78,195.5949,4.6069,399.2,45,1.1537
79,195.5949,4.6069,399.2,40,1.1051
80,195.5949,4.6069,419.20 ,95.04,1.5935
81,195.5949,4.6069,419.20 ,90,1.5464
82,195.5949,4.6069,419.20 ,85,1.4998
83,195.5949,4.6069,419.20 ,80,1.4535
84,195.5949,4.6069,419.20 ,75,1.4075
85,195.5949,4.6069,419.20 ,70,1.3618
86,195.5949,4.6069,419.20 ,65,1.3168
87,195.5949,4.6069,419.20 ,60,1.2723
88,195.5949,4.6069,419.20 ,55,1.2288
89,195.5949,4.6069,419.20 ,50,1.1864
90,195.5949,4.6069,419.20 ,45,1.1455
91,195.5949,4.6069,419.20 ,40,1.1066
92,195.5949,4.6069,419.20 ,35,1.0704
